店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名
溶岩焼 薩摩屋 新宿店,050-5485-4532,,東京都,新宿区新宿,5-11-13,富士新宿ビル2F
Show Club nest,050-5493-8394,,東京都,新宿区歌舞伎町,1-14-7,新宿ハヤシビルB1
ダイニング居酒屋 Itawari イタ和リ,050-5494-9340,,東京都,新宿区歌舞伎町,1-17-6,第3NKビル6F
150円均一炭火焼鳥 完全個室居酒屋 鳥兵衛 新宿東口店,050-5492-4812,,東京都,新宿区歌舞伎町,1-14-3,第103東京ビル5F
お肉の食べ放題専門店 個室 グリル&バル 新宿店,050-5484-0759,,東京都,新宿区西新宿,7-15-15,東宝観光ビルB1
大番寿司 本店,050-5486-0328,,東京都,新宿区歌舞伎町,1-3-11,
焼肉ホルモン ばんから 新宿東口店,050-5492-7693,,東京都,新宿区歌舞伎町,1-13-9,TC第13ビル1F
完全個室で鮮魚と和牛 和食処 福家‐FUKUYA‐ 新宿南口店,050-5494-6034,,東京都,新宿区西新宿,1-18-5,甲新ビル5F
6種のガパオライス 本格タイ料理 サームロット,050-5493-1999,,東京都,新宿区歌舞伎町,1-2-19,三権ビル2F
個室和食 東山 新宿本店,050-5486-5953,,東京都,新宿区西新宿,2-4-1,新宿NSビル29F
海鮮個室居酒屋 政良 新宿南口店,050-5492-8460,,東京都,新宿区新宿,4-1-13,田園新宿ビルB1
全席個室 楽蔵‐RAKUZO‐ 新宿東口店,050-5484-9137,,東京都,新宿区新宿,3-26-2,新宿第二ビル2F
少人数貸切&個室×誕生日&食べ飲み放題 カンパイ 新宿,050-5492-1692,,東京都,新宿区歌舞伎町,2-37-5,日新ビル2F
全席個室 仙台牛タンと博多野菜巻き串の店 阿蔵 新宿総本店,050-5488-7668,,東京都,新宿区新宿,3-36-13,三好ビル5F
和牛焼肉ブラックホール 歌舞伎町本店,050-5486-2540,info@iloveyakiniku.com,東京都,新宿区歌舞伎町,1-2-5,東陽ビル1F
庖,050-5493-6145,,東京都,新宿区歌舞伎町,1-15-8,B1
完全個室居酒屋 酒槽 新宿西口店,050-5492-1406,,東京都,新宿区西新宿,1-16-11,AIビル3F
カラオケパセラ新宿歌舞伎町店,050-5484-2347,,東京都,新宿区歌舞伎町,1-6-6,
焼肉食べ放題 焼肉道楽 新宿店,050-5488-3552,,東京都,新宿区歌舞伎町,1-27-2,ピア新宿B1
全席個室 隠れ家ダイニング おすすめ家 新宿東口本店,050-5494-3951,,東京都,新宿区新宿,3-36-13,Mビル4F
焼肉 X牛,03-5273-1988,,東京都,新宿区歌舞伎町,1-27-5,歌舞伎町APMビル9F
北の味紀行と地酒 北海道 新宿西口店,050-5485-3634,,東京都,新宿区西新宿,1-10-2,110ビル9F
食べ飲み放題全130種類 完全個室居酒屋 京園 新宿本店,050-5489-3626,,東京都,新宿区歌舞伎町,1-18-9,WaMaLL歌舞伎町8F
蒸し焼き野菜&天串ダイニング 歌舞伎市場 新宿東口店,050-5485-9348,,東京都,新宿区歌舞伎町,1-13-10,フジビル2F
牛の達人 private 西新宿店,050-5484-3013,,東京都,新宿区西新宿,7-16-12,新・YSビル2F
ハヌリ 新宿歌舞伎町ゴジラ通り店,050-5486-4923,,東京都,新宿区歌舞伎町,1-18-9,9F
肉寿司&ステーキ 160品食べ飲み放題 個室肉バル 牛鶏豚・新宿店,050-5484-1399,,東京都,新宿区歌舞伎町,1-12-2,第58東京ビル3F
スクレ・サレ,050-5487-7207,,東京都,新宿区新宿,1-24-7,ルネ御苑プラザ1F
